,0
0,neutral
1,curiosity
2,desire
3,realization
4,annoyance
5,joy
6,admiration
7,neutral
8,joy
9,excitement
10,neutral
11,curiosity
12,neutral
13,neutral
14,realization
15,approval
16,curiosity
17,realization
18,approval
19,optimism
20,neutral
21,realization
22,optimism
23,neutral
24,excitement
25,neutral
26,curiosity
27,neutral
28,neutral
29,approval
30,admiration
31,realization
32,neutral
33,neutral
34,amusement
35,neutral
36,admiration
37,admiration
38,neutral
39,neutral
40,neutral
41,caring
42,annoyance
43,neutral
44,curiosity
45,surprise
46,curiosity
47,neutral
48,disapproval
49,admiration
50,neutral
51,disapproval
52,admiration
53,neutral
54,neutral
55,neutral
56,neutral
57,approval
58,curiosity
59,confusion
60,approval
61,neutral
62,optimism
63,neutral
64,neutral
65,amusement
66,curiosity
67,excitement
68,disapproval
69,neutral
70,excitement
71,approval
72,neutral
73,curiosity
74,neutral
75,curiosity
76,excitement
77,neutral
78,neutral
79,realization
80,fear
81,fear
82,admiration
83,neutral
84,approval
85,admiration
86,anger
87,neutral
88,neutral
89,love
90,neutral
91,approval
92,disappointment
93,curiosity
94,curiosity
95,admiration
96,surprise
97,approval
98,neutral
99,admiration
100,neutral
101,curiosity
102,admiration
103,neutral
104,caring
105,neutral
106,realization
107,curiosity
108,love
109,approval
110,admiration
111,neutral
112,neutral
113,excitement
114,disapproval
115,approval
116,neutral
117,curiosity
118,admiration
119,approval
120,neutral
121,curiosity
122,neutral
123,neutral
124,admiration
125,neutral
126,approval
127,neutral
128,neutral
129,neutral
130,admiration
131,confusion
132,curiosity
133,neutral
134,admiration
135,neutral
136,neutral
137,caring
138,curiosity
139,confusion
140,approval
141,excitement
142,neutral
143,curiosity
144,curiosity
145,admiration
146,admiration
147,approval
148,disappointment
149,realization
150,curiosity
151,neutral
152,neutral
153,curiosity
154,approval
155,joy
156,neutral
157,excitement
158,curiosity
159,admiration
160,approval
161,neutral
162,realization
163,surprise
164,caring
165,neutral
166,neutral
167,neutral
168,surprise
169,neutral
170,approval
171,neutral
172,love
173,approval
174,curiosity
175,joy
176,neutral
177,gratitude
178,approval
179,admiration
180,approval
181,neutral
182,realization
183,admiration
184,neutral
185,love
186,admiration
187,neutral
188,curiosity
189,realization
190,admiration
191,realization
192,neutral
193,admiration
194,surprise
195,neutral
196,annoyance
197,neutral
198,fear
199,fear
200,gratitude
201,curiosity
202,neutral
203,caring
204,neutral
205,approval
206,amusement
207,fear
208,excitement
209,curiosity
210,neutral
211,love
212,sadness
213,realization
214,realization
215,neutral
216,amusement
217,neutral
218,realization
219,admiration
220,neutral
221,neutral
222,desire
223,admiration
224,neutral
225,realization
226,approval
227,approval
228,admiration
229,admiration
230,neutral
231,confusion
232,excitement
233,fear
234,caring
235,neutral
236,neutral
237,confusion
238,neutral
239,neutral
240,joy
241,neutral
242,neutral
243,approval
244,confusion
245,curiosity
246,neutral
247,realization
248,realization
249,joy
250,admiration
251,excitement
252,curiosity
253,neutral
254,optimism
255,gratitude
256,neutral
257,pride
258,neutral
259,confusion
260,caring
261,neutral
262,neutral
263,love
264,neutral
265,realization
266,neutral
267,neutral
268,curiosity
269,disapproval
270,remorse
271,approval
272,curiosity
273,realization
274,admiration
275,excitement
276,admiration
277,approval
278,joy
279,annoyance
280,caring
281,disapproval
282,neutral
283,curiosity
284,approval
285,curiosity
286,admiration
287,neutral
288,amusement
289,realization
290,love
291,surprise
292,neutral
293,admiration
294,neutral
295,disapproval
296,admiration
297,neutral
298,realization
299,neutral
300,neutral
301,neutral
302,surprise
303,fear
304,neutral
305,admiration
306,neutral
307,realization
308,neutral
309,disappointment
310,realization
311,approval
312,disapproval
313,curiosity
314,admiration
315,desire
316,neutral
317,neutral
318,neutral
319,confusion
320,amusement
321,neutral
322,neutral
323,neutral
324,admiration
325,approval
326,neutral
327,joy
328,neutral
329,neutral
330,approval
331,approval
332,admiration
333,approval
334,neutral
335,admiration
336,amusement
337,excitement
338,neutral
339,neutral
340,approval
341,confusion
342,curiosity
343,surprise
344,admiration
345,neutral
346,love
347,neutral
348,curiosity
349,neutral
350,admiration
351,neutral
352,neutral
353,admiration
354,neutral
355,optimism
356,neutral
357,neutral
358,surprise
359,admiration
360,gratitude
361,approval
362,realization
363,approval
364,realization
365,neutral
366,admiration
367,admiration
368,disapproval
369,amusement
370,excitement
371,joy
372,neutral
373,neutral
374,disapproval
375,neutral
376,neutral
377,approval
378,confusion
379,fear
380,neutral
381,sadness
382,realization
383,neutral
384,admiration
385,admiration
386,neutral
387,curiosity
388,neutral
389,realization
390,approval
391,realization
392,admiration
393,admiration
394,disappointment
395,neutral
396,gratitude
397,admiration
398,approval
399,neutral
400,curiosity
401,approval
402,joy
403,admiration
404,admiration
405,neutral
406,neutral
407,neutral
408,excitement
409,curiosity
410,neutral
411,approval
412,confusion
413,neutral
414,disapproval
415,neutral
416,disgust
417,neutral
418,anger
419,disappointment
420,neutral
421,approval
422,approval
423,admiration
424,joy
425,neutral
426,neutral
427,admiration
428,neutral
429,realization
430,admiration
431,neutral
432,love
433,approval
434,neutral
435,neutral
436,approval
437,realization
438,approval
439,realization
440,curiosity
441,admiration
442,approval
443,admiration
444,fear
445,approval
446,approval
447,neutral
448,desire
449,approval
450,approval
451,neutral
452,neutral
453,approval
454,neutral
455,disapproval
456,neutral
457,admiration
458,gratitude
459,joy
460,neutral
461,caring
462,admiration
463,nervousness
464,neutral
465,admiration
466,neutral
467,neutral
468,realization
469,optimism
470,desire
471,neutral
472,admiration
