,user_name,user_description,tweets,label,date
248,everyblackresearcher,use technology support researcher provide global networking opportunity everyblack blackresearch research podcast podcasting entrepreneur,chatgpt basic use business date est est register learn save time money chatgpt black member register early limited seat,neutral,2023-04-26 12:01:24+00:00
328,emma scott phd,phd plant biologist woman science enterpenuerer tech woman business woman award winner tech science retweets endorsement,chatgpt gamechanging language model us power gpt provide insightful engaging response question youre looking information advice friendly conversation chatgpt got covered chatgpt,negativ,2023-04-26 11:44:40+00:00
380,zeynep engin phd,founding director dataforpolicy editorinchief dataandpolicy datascience expert specialising government public sector innovation,hugely enjoyed delivering guest lecture hkust student yesterday pretty refreshing revisit amp update thought chatgptlike technology providing wealth new avenue explore new challenge tackle thanks yarime invite,neutral,2023-04-26 11:26:11+00:00
488,wesley fryer phd wfryermastodoncloud,love empowering creatively share voice medium cook too cookwithwes edtechsr wsshare create learn medialit storychasers,morning professional development video required teaching new world ethan mollick asugsv edtechsr edtech chatgpt singularity,positiv,2023-04-26 10:50:26+00:00
508,bertrand mocquet phd,expert num amuecom chercheur sic lelabmica ubmontaigne resp rubrique parutions sfsic hypothesesorg vpnum transfonumdusup emploi,chatgpt artificial intelligence higher education quick start guide unesco link,neutral,2023-04-26 10:45:13+00:00
666,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,know chatgpt actually innovative work then it openai got crucial thing right datascience dnn genai chatgpt llm verbosity,positiv,2023-04-26 09:42:01+00:00
837,marian siwiak phd,friendly neighborhood data guy coauthor data mesh action manning cohost between data risk podcast,thinking scaling data analysis chatgpt help handle growing volume data sacrificing accuracy speed scalabledataanalysis,positiv,2023-04-26 08:39:59+00:00
1467,everyblackresearcher,use technology support researcher provide global networking opportunity everyblack blackresearch research podcast podcasting entrepreneur,chatgpt basic use business date est est register learn save time money chatgpt black member register early limited seat,neutral,2023-04-26 03:25:01+00:00
1506,rabbi karpov phd,strategizing right job career highest potential fullest engagement dedicated career thought leader bleedingedge technique,signed chatgpt course udemy it important excel proactively learning contributes that learning learninganddevelopment artificialintelligence aichatbot aichatgpt chatgpt technicalwriter,negativ,2023-04-26 02:59:34+00:00
2068,jason moore phd,chair department computational biomedicine cedarssinai medical center los angeles informatician data scientist atari enthusiast fsu umich grad,language model phrase show polluting web chatgpt,negativ,2023-04-25 22:25:37+00:00
2610,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,know chatgpt actually innovative work then it openai got crucial thing right datascience dnn genai chatgpt llm verbosity,positiv,2023-04-25 19:42:00+00:00
2757,sheldon campbell phd,christian husband father pastor consultant author maximizing technology guide chatgpt ai improve society,tip know chatgpt help generate course outline suggest youtube video subject area request course follow daily tip sheldondailytip chatgpt,neutral,2023-04-25 18:55:29+00:00
2825,jennifer kwan phd,physician scientist cardiologist yale working translational research cardioonc imaging genomics effect mechanism somatic variantschip,bchesky airbnb discus navigating pandemic decisive amp relying principle initially lost business pandemic outset chatgpt significance btn internet amp industrial revolution like putting nuclear power everyone hand,neutral,2023-04-25 18:31:36+00:00
3097,lillian williams phd,lillian williams phd higher education social justice advocate researching familyhistorygenealogy linkedin bio rts arent endorsement,basic prompt chatgpt template everyday task need them,neutral,2023-04-25 17:14:19+00:00
3363,fernando machuca phd,phd science france goal enhance world reduce poverty,google chatgpt competitor bard gained new skill today ability help write debug code different programming language,positiv,2023-04-25 15:58:58+00:00
3687,cameron caswell phd,teen translator adolescent psychologist tedx speaker author podcast host help school mitigate mental health issue equipping parent educator,interesting story support mental health happened quoted mentalhealth chatgpt mentalhealthmatters mentalhealthawareness teenmentalhealth charlepeck minajblazy connecteddbooks,negativ,2023-04-25 14:39:35+00:00
3865,researcher,indepth report today issue published press sagepublishing imprint,debate chatgpt intensifies new cqr report kathleenday asks generative trained violates copyright law nationallibraryweek,negativ,2023-04-25 13:50:52+00:00
4054,fernando machuca phd,phd science france goal enhance world reduce poverty,leader for example article chatgpt versus hybrid future depends choice example exceptional quality provides wellresearched overview challenge facing generative offer thoughtful solution,neutral,2023-04-25 12:59:18+00:00
4189,zubair iqbal phd,learning enthusiast eager share knowledge training capacity building,wondering cite chatgpt research going new normal guideline given apa,negativ,2023-04-25 12:08:05+00:00
4222,everyblackresearcher,use technology support researcher provide global networking opportunity everyblack blackresearch research podcast podcasting entrepreneur,chatgpt basic use business date est est register learn save time money chatgpt black member register early limited seat,neutral,2023-04-25 12:00:01+00:00
4439,john loewen phd comp sci,year university professor expat italy thailand myanmar runner writes tech pythonaidataviz travel expat life education fitness,hit impression linked day latest python chatgpt amp dataviz article thats before check story plotly dash,negativ,2023-04-25 10:33:46+00:00
4683,marian siwiak phd,friendly neighborhood data guy coauthor data mesh action manning cohost between data risk podcast,chatgpt help learn data soon explore aidriven data analysis offer valuable lesson insight business learningfromdata,positiv,2023-04-25 08:37:59+00:00
4705,sabih jibaraphd,smile cost worth million mesopotamia enthusiast,chatgpt hate muslim islam alarming revelation youtube chatgpt chatgpt chatgpt islam muslim quran quranforall,negativ,2023-04-25 08:28:05+00:00
4949,isabel sargent phd csci misct shethey,deep machine learning geospatial domain linking government industry academia womenintech womenwhocode womeninstem,ipccch report chatgpt tell came,negativ,2023-04-25 06:53:40+00:00
5074,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,know chatgpt actually innovative work then it openai got crucial thing right datascience dnn genai chatgpt llm verbosity,positiv,2023-04-25 05:42:01+00:00
5163,heeyoung kim phd,heeyoung kim otolaryngologist journal otolaryngologyent research,case report groundlevel alternobaric vertigo eustachian tube dysfunction assistance conversational generative pretrained transformer chatgpt chatgpt,neutral,2023-04-25 04:50:05+00:00
5527,micah white phd,previously known cocreating occupy wall street author the end protest thinking lot cryptocurrencies social change,chatgpt interaction cant tell who working whom,neutral,2023-04-25 01:10:06+00:00
5841,john loewen phd comp sci,year university professor expat italy thailand myanmar runner writes tech pythonaidataviz travel expat life education fitness,the upgrade chatgpt gamechanger it like having expert python coder pocket loving enhanced dataviz capability impacted work here it impacting mine gpt python promptengineering,negativ,2023-04-26 06:34:22+00:00
6112,mbaye babacar phd,data artificial intelligence architect microsoft open discussion anytime love data challenge,chatgpt gpt bingchat autogpt advancing faster should reconsider idea pause elon musk had gpt bingchat autogpt,positiv,2023-04-25 09:59:57+00:00
6159,john loewen phd comp sci,year university professor expat italy thailand myanmar runner writes tech pythonaidataviz travel expat life education fitness,cant believe difference chatgpt come writing python code gpt increased library knowledge make worth particularly dataviz it like having coding mentor thought gpt python,positiv,2023-04-25 04:51:52+00:00
6303,zubair iqbal phd,learning enthusiast eager share knowledge training capacity building,wondering cite chatgpt research going new normal guideline given apa,negativ,2023-04-25 12:08:05+00:00
6336,everyblackresearcher,use technology support researcher provide global networking opportunity everyblack blackresearch research podcast podcasting entrepreneur,chatgpt basic use business date est est register learn save time money chatgpt black member register early limited seat,neutral,2023-04-25 12:00:01+00:00
6553,john loewen phd comp sci,year university professor expat italy thailand myanmar runner writes tech pythonaidataviz travel expat life education fitness,hit impression linked day latest python chatgpt amp dataviz article thats before check story plotly dash,negativ,2023-04-25 10:33:46+00:00
6801,marian siwiak phd,friendly neighborhood data guy coauthor data mesh action manning cohost between data risk podcast,chatgpt help learn data soon explore aidriven data analysis offer valuable lesson insight business learningfromdata,positiv,2023-04-25 08:37:59+00:00
6821,sabih jibaraphd,smile cost worth million mesopotamia enthusiast,chatgpt hate muslim islam alarming revelation youtube chatgpt chatgpt chatgpt islam muslim quran quranforall,negativ,2023-04-25 08:28:05+00:00
7057,isabel sargent phd csci misct shethey,deep machine learning geospatial domain linking government industry academia womenintech womenwhocode womeninstem,ipccch report chatgpt tell came,negativ,2023-04-25 06:53:40+00:00
7182,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,know chatgpt actually innovative work then it openai got crucial thing right datascience dnn genai chatgpt llm verbosity,positiv,2023-04-25 05:42:01+00:00
7273,heeyoung kim phd,heeyoung kim otolaryngologist journal otolaryngologyent research,case report groundlevel alternobaric vertigo eustachian tube dysfunction assistance conversational generative pretrained transformer chatgpt chatgpt,neutral,2023-04-25 04:50:05+00:00
7638,micah white phd,previously known cocreating occupy wall street author the end protest thinking lot cryptocurrencies social change,chatgpt interaction cant tell who working whom,neutral,2023-04-25 01:10:06+00:00
7900,barbi honeycutt phd,create resource support college professor creating effective engaging learning experience host lecturebreakers podcast wife mom,icymi episode lecturebreakers podcast teaching amp chatgpt listen,neutral,2023-04-24 23:00:19+00:00
8087,dexter hadley mdphd,chief ourmedschool educating human artificial intelligence medicine mediverse digitalpatients opinion,stabilityai launch stablelm open source chatgpt alternative arstechnica openai,negativ,2023-04-24 21:19:24+00:00
8148,arsene kabir phd,accountable consciencenonideological political observer biologist metooretweetlikes endorsementpls,jeffreyguterman ipob obedientobi lpn sympathizer pretending westerner lol chatgpt,negativ,2023-04-24 20:54:27+00:00
8180,angelique lusuan phd,cohost itescapepod gmscconsulting comms lead book science tech comic podcasts outdoors language view own scicomm,icymi fan chatgpt definitely us energy absurd people answer question power consumption accounted for artificialintelligence,neutral,2023-04-24 20:41:31+00:00
8758,drcharles kuonzi phdfccacpa,result coach findri teach biz owner employee perf turnaroundaccelerationtransformation strategy biz revenue,assault asked chatgpt write resignation letter didnt know bos attached got replace job missed target latecoming unethical behavior laziness procrastination definitely will let wiseup,positiv,2023-04-24 17:23:55+00:00
8767,researcher,indepth report today issue published press sagepublishing imprint,teacher grade level devising new antiplagiarism measure stop student misusing chatgpt,positiv,2023-04-24 17:19:42+00:00
9001,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt beware bogus title open ceo shock everybody gpt gpt update new updated vid,negativ,2023-04-24 16:07:14+00:00
9122,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,know chatgpt actually innovative work then it openai got crucial thing right datascience dnn genai chatgpt llm verbosity,positiv,2023-04-24 15:39:13+00:00
9403,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt google reportedly halt construction giant san jose campus rough economy job cut remote work arent helping matter,negativ,2023-04-24 14:27:11+00:00
9460,jason moore phd,chair department computational biomedicine cedarssinai medical center los angeles informatician data scientist atari enthusiast fsu umich grad,chatgpt know local cuisine food chatgpt losangeles,negativ,2023-04-24 14:11:03+00:00
9488,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt google creates new division challenge openai wont difference deepmind hasnt launched sparrow answer gpt,neutral,2023-04-24 14:03:06+00:00
9525,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt running chatgpt costing openai staggering sum single day,negativ,2023-04-24 13:57:10+00:00
