,user_name,user_description,label
70735,Speak,"Join 20,000+ researchers and marketers using Speak's speech recognition and natural language processing software to drive growth.",0
13289,CanGPT,I tweet about #AI #ChatGPT #Web3 🚀🚀,0
347996,Best MidJourneyAI Generated Art🤖🎨,"follow my twitter account if you like the content :)
i will keep posting best of the best AI generated Art. thanks.
telegram: https://t.co/kqCv41hsJA",0
138699,NikPeachey,"Co-founder https://t.co/6o0xPcZuc4. Award-Winning Writer, Course Designer, Edtech Trainer, Blogger, International Conference Speaker. #TESOL #ELT #TEFL #EDTECH",0
177388,Webrpoint,We provide the solutions on Web Technology by publishing Videos and blogs in an effective manner. YouTube- https://t.co/85fSddHYbL,0
185620,𝗖𝗥𝗬𝗣𝗧𝗢 𝗦𝗛𝗔𝗥𝗞,Sharing insights and analysis on the latest news and trends in the industry. #HODLing for the future of decentralized finance. 🚀,0
344534,Jovian Nodes,Tech and crypto enthusiast. Been in the game since 2017. Passionate about AI and blockchain technology and how they can improve our daily lives. Humanity maxi.,0
258828,Starfighter General,"#1 world :Starcraft/Warcraft3/more.  Scientist, knows Jesus is real, author, MMO designer/coder,Eagle Scout,love police,victim of police brutality, love police.",1
111220,The Cat =^.^=,"Profound Nullity

Autistic/ADHD /Cat 

#AuDHD",0
299303,Jamie Jones 🇺🇸,"Anthropology, Demography, Social Networks, Infectious Disease, Human Adaptation, Climate Fiction. Stanford Earth, Castaño House. #BlackLivesMatter",0
171338,Enhancv,"Enhancv helps you create a resume to be proud of. It's modern and people remember it. The tool helps you highlight your achievements, attitude, and personality.",0
165351,Insider Intelligence,"Unlocking digital opportunities with the world’s most trusted forecasts, analysis, and benchmarks. https://t.co/KXjfMQqkVq",0
129425,CHERAY,"Unbridled Opulence ✨🐎✨ Lover of horses, luxury, ,real estate , art and tech , Building unbridled innovation & wealth  @venturebank @cloudcom Cheray Unman",0
71974,Midjourney Art Gallery,"Discover astonishing image made by the AI technology

Join our Telegram channel https://t.co/YMvgVpGzrG

Get Inspired, Explore and Join the infinite possibilities.",0
264247,Mohammad Abdus Shaheed,Domain Investor,0
42949,Bitone Great,"#ChatGPT (AI) powered Free Trading Signal! 
Let's grow some millionaires! 
#binance #bybit #bitget",0
254295,Aledemagig - AI ❤️,https://t.co/fOMxCepGMH,0
237480,President Non_Fudd,"Mom-at-Arms contributor to writing and research. Supporter of grassroots advocacy (big orgs are all corrupt in one way or another). Never lie,but make your case",0
